metoda,estymator,klasyfikator,ilość cech,f1,dokładność,precyzja,recall,czas uczenia
Sekwencyjne przeszukiwanie w przód,LogisticRegression(),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),50,0.015621662139892578,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),50,0.00010895729064941406,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),50,0.015622615814208984,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),50,0.015621185302734375,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),RandomForestRegressor(n_estimators=250),50,0.015620708465576172,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Las losowy,Las losowy,RandomForestRegressor(n_estimators=250),50,0.01562190055847168,nan,nan,nan,nan

Las losowy,Las losowy,LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

ReliefF,ReliefF,RandomForestRegressor(n_estimators=250),50,0.015620946884155273,nan,nan,nan,nan

ReliefF,ReliefF,LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),70,0.0119781494140625,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),70,0.007979393005371094,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),70,0.03121638298034668,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),70,0.005023479461669922,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),70,0.006983041763305664,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),70,0.0069408416748046875,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),70,0.015621185302734375,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),70,0.003989219665527344,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),70,0.005983591079711914,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),70,0.005984067916870117,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),70,0.017926454544067383,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),RandomForestRegressor(n_estimators=250),70,0.015621662139892578,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),70,0.01562190055847168,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),70,0.015621662139892578,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),70,0.01562190055847168,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),RandomForestRegressor(n_estimators=250),70,0.015622615814208984,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Las losowy,Las losowy,RandomForestRegressor(n_estimators=250),70,0.006181240081787109,nan,nan,nan,nan

Las losowy,Las losowy,LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

ReliefF,ReliefF,RandomForestRegressor(n_estimators=250),70,0.015648841857910156,nan,nan,nan,nan

ReliefF,ReliefF,LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),94,0.015622615814208984,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),94,0.015622138977050781,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),94,0.01562190055847168,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),RandomForestRegressor(n_estimators=250),94,0.015621423721313477,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),94,0.015620708465576172,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),94,0.015621423721313477,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),94,0.015622138977050781,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),RandomForestRegressor(n_estimators=250),94,0.015620946884155273,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),LogisticRegression(),94,0.003977775573730469,0.3157894736842105,0.74,0.42857142857142855,0.25

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=1),94,0.0049991607666015625,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=3),94,0.005983829498291016,0.48000000000000004,0.74,0.46153846153846156,0.5

Las losowy,Las losowy,RandomForestRegressor(n_estimators=250),94,0.015621185302734375,nan,nan,nan,nan

Las losowy,Las losowy,LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=1),94,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=3),94,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

ReliefF,ReliefF,RandomForestRegressor(n_estimators=250),94,0.015621185302734375,nan,nan,nan,nan

ReliefF,ReliefF,LogisticRegression(),94,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

